s,x_mid,y_mid,psi_mid,kappa_mid,w_l,w_r,x_l,y_l,psi_l,x_r,y_r,psi_r
0,-160.23670829619113,101.84421381063538,-2.5645265569701605,-0.004222769922087621,5.902152763656696,5.910942636731213,-155.29030944484964,105.06423642685844,-2.5651680692273504,-165.19047364918384,98.61939572550006,-2.575904353745192
0.4994793647881901,-159.96447113671329,101.42544591729086,-2.565352958456832,0.0009128678531931493,5.901559962022736,5.900313761743252,-155.0159100177682,104.64105672045325,-2.5668958290301487,-164.9119872949549,98.21051413715075,-2.5580578985876805
0.9991974841346851,-159.69213665206743,101.00645650601963,-2.5652178630955293,-0.0003713923573355531,5.900830031860242,5.901274596148118,-154.7446219978379,104.22233800431644,-2.566392212889939,-164.64002404849037,97.79033272552515,-2.562359055808977
1.499136118203653,-159.41969979613205,100.58727063170616,-2.5652947273755267,6.360495049423042e-05,5.900350402007994,5.897771623431935,-154.47234013289292,103.80251047175392,-2.5662935834189353,-164.36489719031283,97.37343602881407,-2.5588836287834242
1.9992769268840749,-159.14715552434762,100.16791344694417,-2.5652692822449388,3.8253464946964516e-05,5.899500791642748,5.896195359069928,-154.2005900493014,103.38281618134754,-2.567543622458813,-164.0909494871554,96.95481199108829,-2.5646761668458757
2.499601493477112,-158.8744987955975,99.74841019288817,-2.5652256334547054,0.00013613664960097338,5.898234851132534,5.895692210037046,-153.92913507727556,102.96283892170133,-2.5679059677303164,-163.817730641361,96.53536715636952,-2.5623944680808877
3.0000913602319237,-158.6017245516612,99.32878617257872,-2.5651410936322576,0.0002016127460335996,5.896640537244909,5.894900860354835,-153.65796927421277,102.54276398553587,-2.568785448550119,-163.5440212805086,96.1157565746079,-2.5668970169502683
3.5007280889269246,-158.32882764597915,98.90906672736394,-2.5650217016825403,0.0002752137007067037,5.89465823031797,5.896627668428164,-153.38711796794385,102.12255410251693,-2.5690457115816656,-163.2721883767115,95.6945057082004,-2.567576860153341
4.001492933579049,-158.05580315308208,98.48927742853238,-2.5648659131107063,0.0003468202473363957,5.893050565157863,5.896563598744404,-153.11594178814147,101.70265799402326,-2.567330726071414,-162.99860932541844,95.27398126538486,-2.562861072528586
4.502367240781737,-157.78264606583016,98.06944379894203,-2.5646740752166566,0.0004189824775860204,5.892030846373668,5.8958253164717185,-152.84425591456008,101.28321575856478,-2.56651212602386,-162.72421654222924,94.85360216895933,-2.565202720032709
5.0033323272193115,-157.50935139070486,97.64959139952404,-2.564446084210723,0.0004909768732667412,5.891632482733518,5.8963842865025615,-152.572027916768,100.86427182303628,-2.564319720303952,-162.450656985448,94.4323182259383,-2.563731627824271
5.504369488568918,-157.2359141496828,97.22974581978694,-2.564181937850969,0.0005631274108430322,5.891709624521866,5.894497469255149,-152.2993753586427,100.44577241548541,-2.564443271703789,-162.17478881681768,94.01219746158179,-2.5595563152771956
6.005460008949408,-156.96232944210843,96.80993262856065,-2.563882144837753,0.0006325986978374065,5.891663676507961,5.893162846689671,-152.02679350654287,100.0274139270027,-2.5635167032718735,-161.89912125525143,93.59163262214612,-2.5636070474884676
6.506585217301372,-156.68859814787012,96.39017358913178,-2.5635867534186074,0.0005459931983574773,5.892228017134656,5.894076436120915,-151.75354017834863,99.60942099238754,-2.5619370487512887,-161.62520426773858,93.16991629318272,-2.56533454439115
7.007726618307976,-156.41474309379956,95.97047594577548,-2.563334735108036,0.00045951008755767476,5.893254966766754,5.894040655816622,-151.47963660614425,99.19152826742807,-2.5611072167083315,-161.3505075301011,92.74899419326468,-2.562702913422981
7.508865742763853,-156.1407925750821,95.55084332734995,-2.563126075253879,0.00037300549757242194,5.894487821684578,5.894092042172125,-151.20532602725365,98.77359938936492,-2.5604798532533097,-161.07592773592606,92.32830365408007,-2.564023190929576
8.009984108691782,-155.86677489811834,95.13127935271527,-2.5629607839796287,0.0002865048779518481,5.8957127588147875,5.894929023420695,-150.9308155795474,98.3555210526913,-2.5608982443582153,-160.8020780642985,91.90746626119467,-2.564617762791181
8.511063230953644,-155.5927183701324,94.71178762940714,-2.562838844709037,0.00020005936745120503,5.896541996163221,5.895795576057837,-150.65645805808586,97.93708476986271,-2.5613888307334114,-160.5283538203625,91.48689876665621,-2.565614549448312
9.012084697312023,-155.31865132235833,94.29237165099401,-2.5627607905476633,0.00011104105158408684,5.897430700677185,5.898392688937456,-150.38189883666726,97.51854023994171,-2.5605123402028083,-160.25620909058281,91.06567680977383,-2.56874159119428
9.513033096058459,-155.04460357467315,93.87303034586297,-2.562747640890957,-5.855597733149075e-05,5.8986912339724356,5.900709238205397,-150.1068383262333,97.09995343528468,-2.5603119581746725,-159.98405808447242,90.64500329215569,-2.5657707809410284
10.013903876038956,-154.77061039903776,93.45374610118495,-2.5628194422000194,-0.00022807220079217288,5.899686851302096,5.901189409187442,-149.8317800005781,96.68085924433281,-2.5611994596714944,-159.71069864028578,90.22581106283782,-2.564561857767439
10.514695181898029,-154.49670839067704,93.0344972236309,-2.5629761447783475,-0.0003975777511184086,5.90053686967886,5.902137855619336,-149.55666070349207,96.26130124600009,-2.560825504001299,-159.43809645536783,89.8068176762058,-2.5626378586333396
11.015405175837655,-154.22293410842929,92.61526203999163,-2.5632177075247027,-0.0005670415320394738,5.902139569954101,5.9011103447714195,-149.28076506527972,95.84174877514988,-2.5592224253947506,-159.16424132769683,89.38933794510305,-2.5604655267099763
11.516032048470192,-153.9493240734014,92.1960188979772,-2.5635440935106346,-0.0007364902861901802,5.90417433850216,5.900874920169594,-149.00439803275174,95.4220041849759,-2.5601213044931566,-158.89148675059053,88.97183638210043,-2.564223194153799
12.016574131870952,-153.67591458383015,91.77674616480608,-2.563954303899397,-0.0009014350960443908,5.90528689819893,5.901201348400344,-148.7287335746307,95.00131023026613,-2.5618310662841504,-158.61967290506811,88.55441300146738,-2.563979332388328
12.517033215368528,-153.40273576807152,91.35742215598482,-2.5644202367397355,-0.0009600815807687091,5.906747852083658,5.900632210212517,-148.4528285732935,94.5804779965156,-2.561200656973641,-158.34751800061034,88.13770335569093,-2.563366721801065
13.017423167798183,-153.12979607244014,90.9380249433611,-2.564915467126747,-0.0010187586968227183,5.908086160238423,5.901506151935062,-148.17717145389088,94.15935874545931,-2.5627519557691505,-158.0769048081418,87.72027883490695,-2.5679317228764194
13.517760843495005,-152.85709860491022,90.5185325414976,-2.565440010744612,-0.0010774297587478844,5.908512751278651,5.902427425449344,-147.9024272134269,93.73750044044273,-2.566071282837672,-157.80666705576132,87.3028799385201,-2.566353382504625
14.018063102748899,-152.58464650439169,90.09892296441457,-2.565993874465237,-0.001136084933761348,5.907733887786057,5.90307977307661,-147.62884636592614,93.31472219267503,-2.5687648123621405,-157.53654246187014,86.88565714384903,-2.567948831094055
